product_description,product_image,product_price,product_title
" A quick 10-minute charge delivers up to 20 hours of immersive audio playback.; The flagship-level battery life delivers up to 30 hours of non-stop music on a single charge.  
 A large 12.4 mm bass driver delivers uncompromisingly deep bass for powerful beats. Experience incredibly rich audio detail at every frequency with the titanium coating dome  
 Anti-distortion audio technology ensures your audio playtime stays silky-smooth. Thanks to the larger sound cavity and industry-leading algorithms, notes remain distortion-free  
 Water and sweat-resistant, the IP55-rated internals and design ensure your OnePlus Bullets Wireless Z2 stay all-weather ready.  
 Model: E305a; Control Type: Call Control; Battery Average Life: 30.0 Hours  ",https://m.media-amazon.com/images/I/31pAe23ncfL._SX300_SY300_QL70_ML2_.jpg,"₹1,499","Oneplus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 mm Drivers, 10 Mins Charge - 20 Hrs Music, 30 Hrs Battery Life, IP55 Dust and Water Resistant (Magico Black)"
" Up to 50-hour playtime: You are all set for endless entertainment with a massive playtime at your disposal.  
 Quad mic with Environmental Noise Cancellation: Communicate easily with everyone in the busiest of surroundings.  
 Instacharge: Fuel your earbuds for 120 minutes of entertainment in just 10 minutes of charge.  
 13mm driver: You have got mini concert in your ears wherever you go.  
 Bluetooth v5.2 & Hyper Sync: Experience no interruption connectivity along with the hassle-free pairing.  
 IPX5: Buds Connect are built for an adventure-filled life as the IPX5 water-resistant rating takes care of it.  ",https://m.media-amazon.com/images/I/41QG7VWIpLL._SY300_SX300_.jpg,"₹1,299","Noise Buds Connect Truly Wireless in Ear Earbuds with 50H Playtime, Quad Mic with ENC, Instacharge(10 min=120 min), 13mm Driver, Hyper Sync, and BT v5.2 (Carbon Black)"
" GO-ANYWHERE DESIGN. Thanks to rugged, innovative hinges that both fold flat and collapse, Hesh Evo easily goes wherever you go.  
 COMFORT FOR HOURS. With an ultralight headband and soft pads that fully surround your ears, Hesh Evo is one of the most comfortable headphones youâll ever put on.  
 EASY, CONVENIENT CONTROLS. Simple, intuitive buttons let you take calls, adjust volume and change tracks without ever touching your phone.  
 DONâT WORRY, YOUâVE GOT TILE. Hesh Evo features built-in Tile finding technology. If you ever misplace your headphones, you can easily âringâ them from the Tile App. So what might have seemed lost, is now quickly found.  ",https://m.media-amazon.com/images/I/41cjI9-3LVL._SY300_SX300_.jpg,"₹6,999",Skullcandy Hesh EVO Over Ear True Black.
" Bluetooth and Stereo Sound Quality:- Bluetooth earbuds utilize advanced Bluetooth technology, ensuring a seamless connection for crystal-clear calls, akin to face-to-face communication. Enjoy uninterrupted music and calls with superior stereo sound quality, providing a seamless audio experience without worries of disruptions.  
 Smart Touch Control:- Baani Audio earbuds feature Smart Touch Control, allowing easy operation for volume adjustment, song navigation, play/pause, call handling, and voice assistant activation. Enjoy seamless and convenient control at your fingertips for a hassle-free audio experience.  
 Real-Time LED Displays and 50hr Playback:- Featuring real-time LED displays, our wireless earphone charging case exhibits the power level during charging. The LEDs flash sequentially from 1 to 100, providing a dynamic visual of the charging progress. With an impressive 50-hour playback, our Bluetooth earphones seamlessly charge upon placement in the case, ensuring uninterrupted listening experiences.  
 Best Gaming Experience:- Experience gaming at its peak with Bluetooth 5.3 Earbuds, delivering unparalleled stability and swift connections. Immerse yourself in the ultimate gaming adventure, thanks to Best in Class Low Latency. Activate the specialized Low Latency Gaming Mode for an unmatched, responsive gaming experience. Elevate your gameplay to new heights.  
 IPX5 Water Resistant:- With IPX5 Water Resistant technology, our product ensures sweat-proof and waterproof performance. Whether you're working out or caught in the rain, rest assured that your device is equipped to handle it. Stay active without worrying about water damage, thanks to our reliable and durable design.  ",https://m.media-amazon.com/images/I/31TqbMj1NeL._SY300_SX300_.jpg,"₹1,399",Baani Audio Truly Wireless Earbuds 50 Hours Playtime in Single Charge Long Battery Life Unique Design Earphone Bluetooth 5.3 & in-Ear Style Low Latency Gaming IPX5 Earbuds (BT104-Purple)
" Comfortable Design: Beat the workday blues with music on LAPCARE-EERS wireless headphone that comes in an ergonomic design a perfect fit and design for long hours use  
 40mm Drivers: Its 40mm dynamic drivers help pump out immersive HD audio all day long.  
 30 Hours Playback: It provides a massive battery backup of upto 30 hours for a superior playback time.  
 CONNECTIVITY: With its bluetooth 5.3 connectivity you can enjoy your music or movies without the hassle of wires  
 Superfast Charging: Equipped with Type-C connectivity for rapid charging, ensuring minimal downtime and extended usage.  ",https://m.media-amazon.com/images/I/314kjPKcqYL._SY300_SX300_.jpg,"₹1,259","LAPCARE EERS Bluetooth Wireless On-Ear Foldable Headphones, 30H Playtime, ENC, Premium Stereo Sound, 40 mm Dynamic Drivers with Deep Bass, Bluetooth 5.3Dual Connectivity (Grey)"
" 13mm Dynamic Drivers Deliver Immersive Audio Experience with Deep Bass | Enhanced Call Quality with TruTalk AI-ENC & Built-in HD Mics for Cleared Calls | Enjoy 38H of Combined Playback Time with Case  
 Enjoy Music in Natural Sound Quality and Movies with Zero Lag through 50ms Music/Movie Modes | Bluetooth V5.3 Provides Quick Pairing, Stable Connection, Auto-reconnect & Wide Device Compatibility  
 Comfortable & Lightweight In-Ear Wireless Headphones | Snug-Fit Earbuds Minimises External Noises Getting into Your Ears | Manage Music/Calls Smoothly thru Touch | IPX5 Water & Sweat Resistance  
 Stereo/Mono Earbud Use | Awake Your Phone's Voice Assistant Instantly | Compact Charging Case for Extended Playback Time & Type-C Port for Fast Charging | DC5V-1A max. Charging Current; S/M/L Size Eartips Included for a Perfect Ear Canal Fit | 1-year manufacturer warranty on manufacturing defects only from the date of purchase  
 Control Type: Call Control  ",https://m.media-amazon.com/images/I/41APtEVPNEL._SX300_SY300_QL70_ML2_.jpg,₹899,"pTron Newly Launched Bassbuds Duo Pro TWS Earbuds, TruTalk AI-ENC Calls, 38H Playback Time, Deep Bass, Movie/Music Modes, In-Ear Bluetooth 5.3 Headphones with HD Mic,Fast Type-C Charging & IPX5(Green)"
" 【Built-In Mic】Need to make a call? No problem. Whether you're at home or out and about, the built-in mic lets you enjoy hands-free calling straight through bluetooth over the ear headphone with mic.  
 【Bluetooth Connection and Fast Pair】In one tap, the iClever BTH13 bluetooth headphones for girls enables quick effortless Bluetooth pairing with your devices.  
 【Long Life Battery】Built-in 500mAh rechargeable battery up to 45 hours of battery life with indicator and fast charge with Type-C.  
 【Comfortable & Foldable】The wireless girls headphones for Girls ergonomic design fine-tune your fit, you can adjust the headband to your preference so you can listen for hours without strain. Foldable and easy for storage.  
 【Ideal Gift Choice】Cute cat ear headphones with lovely trendy and Led ligth is a great birthday or christmas gifts for girls ,teens, adult women and cat lovers. And we provide 12-month warranty,12-hour Customer-friendly Support Service.  ",https://m.media-amazon.com/images/I/41QlaEQufuL._SX300_SY300_QL70_ML2_.jpg,"₹2,699","iClever BTH13 Bluetooth Kids Headphones with Mic, Over Ear Headphone Wireless Cat Ear Headphone for Girls Birthday Gift Safe Volume Limited, 45H Playtime, Portable Headset for iPad, Purple"
" The ATH-M20xBT over-ear wireless headphones include all the features you want and the audio quality you demand. Inspired by our #1 selling ATH-M20x wired professional studio headphones and featuring powerful 40 mm drivers for enhanced low-frequency performance, the ATH-M20xBT Bluetooth headphones deliver an incredible listening experience with full-range, high-fidelity audio and enhanced bass.  ",https://m.media-amazon.com/images/I/41D2NTluSeL._SX300_SY300_QL70_FMwebp_.jpg,"₹7,990","Audio-Technica Ath-M20Xbt Wireless Over-Ear Headphones,Black"
" ? JBL Deep Bass Sound : Get the most from your mixes with high-quality audio from secure, reliable earbuds with 12mm drivers featuring JBL Deep Bass Sound;? Comfortable fit : The comfy, open-ear JBL Wave Flex let you hear everything without blocking your ear-canal  
 ? Playtime : Get 32 hours of playtime (8 hours in the earbuds and 24 in the case) with the JBL Wave Flex. If you run out of battery, a 10 minute charge will give you 2 extra hours;? Stay aware of your surroundings : Go anywhere and hear everything with Smart Ambient technology. When you need to pause for a quick chat, Talk Thru lets you instantly hear yourself and those around you without taking out your earbuds. Or use Ambient Aware to keep the music playing while remaining aware of your surroundings  
 ? Hands-free calls with Voice Aware : When you re making hands-free stereo calls on the go, Voice Aware lets you balance how much of your own voice you hear while talking with others; ? Water and dust resistant :From the beach to the bike trail, the IP54-certified earbuds and IPX2 charging case are water and dust resistant for all-day experiences  
 ? JBL Headphones App compatible : Listen all day your way. Pick from 5 different preset equalizer, or create your own to transform the JBL Wave Flex into your ideal audio companion  
 Model: Ha-Jblwflexwht  ",https://m.media-amazon.com/images/I/317Kx+ifRDL._SY300_SX300_.jpg,"₹2,998","JBL Newly Launched Wave Flex in-Ear Wireless Earbuds TWS with Mic,App for Custom Extra Bass EQ, 32Hrs Battery, Quick Charge, IP54 Water & Dust Proof, Ambient Aware, Talk-Thru,Google FastPair (White)"
" LEGENDARY NOISE CANCELLATION: Effortlessly combines noise cancelling headphone technology with passive features so you can shut off the outside world, quiet distractions and take music beyond the beat  
 PREMIUM COMFORT: Plush earcup cushions softly hug your ears, while a secure and comfortable padded band gently keeps your over-ear headphones in place for those extra-long listening sessions  
 TWO LISTENING MODES: These wireless Bluetooth headphones feature Quiet and Aware Modes that let you toggle between full noise cancelling or full awareness of your surroundings for seamless sound control  
 HIGH-FIDELITY AUDIO/EQ CONTROL: Supercharge your favourite tracks with high-fidelity audio and Adjustable EQ that puts you in control of the bass, mid-range and treble for unmatched bold sound  
 ALL-DAY BATTERY LIFE: Bose QuietComfort wireless headphones provide up to 24 hours of battery on a single charge, plus a 15-minute charge gives you up to 2.5 hours of additional play time  ",https://m.media-amazon.com/images/I/31FgRhyNo+L._SY300_SX300_.jpg,"₹27,900","Bose New QuietComfort Wireless Noise Cancelling Headphones, Bluetooth Over Ear Headphones with Up to 24 Hours of Battery Life - Black"
